2021-04-30 05:32:07.627 IDT [main]  TRACE LineSegmentationEvaluatorTool:42 - main
2021-04-30 05:32:08.754 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@9e89d68 with MO: java.awt.Polygon@12bb4df8
2021-04-30 05:32:08.754 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@9e89d68 with MO: java.awt.Polygon@4cc77c2e
2021-04-30 05:32:08.755 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@9e89d68 with MO: java.awt.Polygon@7a7b0070
2021-04-30 05:32:08.756 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@9e89d68 with MO: java.awt.Polygon@39a054a5
2021-04-30 05:32:08.757 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@9e89d68 with MO: java.awt.Polygon@71bc1ae4
2021-04-30 05:32:09.729 IDT [main]  TRACE LineSegmentationEvaluator:391 - matching possibility: java.awt.Polygon@9e89d68 * java.awt.Polygon@1f89ab83 = 0.7837138150152977
2021-04-30 05:32:09.731 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@9e89d68 with MO: java.awt.Polygon@e73f9ac
2021-04-30 05:32:09.732 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@9e89d68 with MO: java.awt.Polygon@61064425
2021-04-30 05:32:09.732 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@9e89d68 with MO: java.awt.Polygon@7b1d7fff
2021-04-30 05:32:09.733 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@9e89d68 with MO: java.awt.Polygon@299a06ac
2021-04-30 05:32:09.733 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@9e89d68 with MO: java.awt.Polygon@383534aa
2021-04-30 05:32:09.733 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@9e89d68 with MO: java.awt.Polygon@6bc168e5
2021-04-30 05:32:09.734 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@9e89d68 with MO: java.awt.Polygon@7b3300e5
2021-04-30 05:32:09.734 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@9e89d68 with MO: java.awt.Polygon@2e5c649
2021-04-30 05:32:09.735 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@9e89d68 with MO: java.awt.Polygon@136432db
2021-04-30 05:32:09.735 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@9e89d68 with MO: java.awt.Polygon@7382f612
2021-04-30 05:32:09.735 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@9e89d68 with MO: java.awt.Polygon@1055e4af
2021-04-30 05:32:09.736 IDT [main]  TRACE LineSegmentationEvaluator:339 - matching possibility for GT: java.awt.Polygon@3caeaf62
2021-04-30 05:32:09.736 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@3caeaf62 with MO: java.awt.Polygon@ed17bee
2021-04-30 05:32:09.736 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@3caeaf62 with MO: java.awt.Polygon@2a33fae0
2021-04-30 05:32:09.977 IDT [main]  TRACE LineSegmentationEvaluator:391 - matching possibility: java.awt.Polygon@3caeaf62 * java.awt.Polygon@e6ea0c6 = 0.0026454172984482368
2021-04-30 05:32:09.978 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@3caeaf62 with MO: java.awt.Polygon@707f7052
2021-04-30 05:32:09.978 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@3caeaf62 with MO: java.awt.Polygon@11028347
2021-04-30 05:32:09.978 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@3caeaf62 with MO: java.awt.Polygon@14899482
2021-04-30 05:32:09.978 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@3caeaf62 with MO: java.awt.Polygon@21588809
2021-04-30 05:32:09.979 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@3caeaf62 with MO: java.awt.Polygon@2aae9190
2021-04-30 05:32:09.979 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@3caeaf62 with MO: java.awt.Polygon@2f333739
2021-04-30 05:32:09.980 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@3caeaf62 with MO: java.awt.Polygon@77468bd9
2021-04-30 05:32:09.980 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@3caeaf62 with MO: java.awt.Polygon@12bb4df8
2021-04-30 05:32:09.980 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@3caeaf62 with MO: java.awt.Polygon@4cc77c2e
2021-04-30 05:32:09.980 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@3caeaf62 with MO: java.awt.Polygon@7a7b0070
2021-04-30 05:32:09.981 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@3caeaf62 with MO: java.awt.Polygon@39a054a5
2021-04-30 05:32:09.981 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@3caeaf62 with MO: java.awt.Polygon@71bc1ae4
2021-04-30 05:32:10.856 IDT [main]  TRACE LineSegmentationEvaluator:391 - matching possibility: java.awt.Polygon@3caeaf62 * java.awt.Polygon@1f89ab83 = 0.08786623715293757
2021-04-30 05:32:10.857 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@3caeaf62 with MO: java.awt.Polygon@e73f9ac
2021-04-30 05:32:10.857 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@3caeaf62 with MO: java.awt.Polygon@61064425
2021-04-30 05:32:10.857 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@3caeaf62 with MO: java.awt.Polygon@7b1d7fff
2021-04-30 05:32:10.857 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@3caeaf62 with MO: java.awt.Polygon@299a06ac
2021-04-30 05:32:10.857 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@3caeaf62 with MO: java.awt.Polygon@383534aa
2021-04-30 05:32:10.857 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@3caeaf62 with MO: java.awt.Polygon@6bc168e5
2021-04-30 05:32:11.491 IDT [main]  TRACE LineSegmentationEvaluator:391 - matching possibility: java.awt.Polygon@3caeaf62 * java.awt.Polygon@7b3300e5 = 0.008420844065781653
2021-04-30 05:32:11.492 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@3caeaf62 with MO: java.awt.Polygon@2e5c649
2021-04-30 05:32:11.492 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@3caeaf62 with MO: java.awt.Polygon@136432db
2021-04-30 05:32:11.492 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@3caeaf62 with MO: java.awt.Polygon@7382f612
2021-04-30 05:32:11.492 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@3caeaf62 with MO: java.awt.Polygon@1055e4af
2021-04-30 05:32:11.493 IDT [main]  TRACE LineSegmentationEvaluator:339 - matching possibility for GT: java.awt.Polygon@6a38e57f
2021-04-30 05:32:11.493 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@6a38e57f with MO: java.awt.Polygon@ed17bee
2021-04-30 05:32:11.493 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@6a38e57f with MO: java.awt.Polygon@2a33fae0
2021-04-30 05:32:11.493 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@6a38e57f with MO: java.awt.Polygon@e6ea0c6
2021-04-30 05:32:11.493 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@6a38e57f with MO: java.awt.Polygon@707f7052
2021-04-30 05:32:11.493 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@6a38e57f with MO: java.awt.Polygon@11028347
2021-04-30 05:32:11.493 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@6a38e57f with MO: java.awt.Polygon@14899482
2021-04-30 05:32:11.493 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@6a38e57f with MO: java.awt.Polygon@21588809
2021-04-30 05:32:11.494 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@6a38e57f with MO: java.awt.Polygon@2aae9190
2021-04-30 05:32:11.494 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@6a38e57f with MO: java.awt.Polygon@2f333739
2021-04-30 05:32:11.494 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@6a38e57f with MO: java.awt.Polygon@77468bd9
2021-04-30 05:32:11.494 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@6a38e57f with MO: java.awt.Polygon@12bb4df8
2021-04-30 05:32:11.495 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@6a38e57f with MO: java.awt.Polygon@4cc77c2e
2021-04-30 05:32:11.495 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@6a38e57f with MO: java.awt.Polygon@7a7b0070
2021-04-30 05:32:11.495 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@6a38e57f with MO: java.awt.Polygon@39a054a5
2021-04-30 05:32:11.495 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@6a38e57f with MO: java.awt.Polygon@71bc1ae4
2021-04-30 05:32:12.975 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@6a38e57f with MO: java.awt.Polygon@61064425
2021-04-30 05:32:12.976 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@6a38e57f with MO: java.awt.Polygon@7b1d7fff
2021-04-30 05:32:12.976 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@6a38e57f with MO: java.awt.Polygon@299a06ac
2021-04-30 05:32:12.976 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@6a38e57f with MO: java.awt.Polygon@383534aa
2021-04-30 05:32:12.976 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@6a38e57f with MO: java.awt.Polygon@6bc168e5
2021-04-30 05:32:13.581 IDT [main]  TRACE LineSegmentationEvaluator:391 - matching possibility: java.awt.Polygon@6a38e57f * java.awt.Polygon@7b3300e5 = 0.8259037272897546
2021-04-30 05:32:13.582 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@6a38e57f with MO: java.awt.Polygon@2e5c649
2021-04-30 05:32:13.582 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@6a38e57f with MO: java.awt.Polygon@136432db
2021-04-30 05:32:13.582 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@6a38e57f with MO: java.awt.Polygon@7382f612
2021-04-30 05:32:13.582 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@6a38e57f with MO: java.awt.Polygon@1055e4af
2021-04-30 05:32:13.582 IDT [main]  TRACE LineSegmentationEvaluator:339 - matching possibility for GT: java.awt.Polygon@5577140b
2021-04-30 05:32:13.583 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@5577140b with MO: java.awt.Polygon@ed17bee
2021-04-30 05:32:13.583 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@5577140b with MO: java.awt.Polygon@2a33fae0
2021-04-30 05:32:13.583 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@5577140b with MO: java.awt.Polygon@e6ea0c6
2021-04-30 05:32:13.583 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@5577140b with MO: java.awt.Polygon@707f7052
2021-04-30 05:32:13.583 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@5577140b with MO: java.awt.Polygon@11028347
2021-04-30 05:32:13.583 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@5577140b with MO: java.awt.Polygon@14899482
2021-04-30 05:32:13.583 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@5577140b with MO: java.awt.Polygon@21588809
2021-04-30 05:32:13.583 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@5577140b with MO: java.awt.Polygon@2aae9190
2021-04-30 05:32:13.583 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@5577140b with MO: java.awt.Polygon@2f333739
2021-04-30 05:32:13.584 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@5577140b with MO: java.awt.Polygon@77468bd9
2021-04-30 05:32:13.584 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@5577140b with MO: java.awt.Polygon@12bb4df8
2021-04-30 05:32:13.584 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@5577140b with MO: java.awt.Polygon@4cc77c2e
2021-04-30 05:32:13.584 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@5577140b with MO: java.awt.Polygon@7a7b0070
2021-04-30 05:32:13.584 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@5577140b with MO: java.awt.Polygon@39a054a5
2021-04-30 05:32:13.584 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@5577140b with MO: java.awt.Polygon@71bc1ae4
2021-04-30 05:32:13.584 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@5577140b with MO: java.awt.Polygon@1f89ab83
2021-04-30 05:32:14.328 IDT [main]  TRACE LineSegmentationEvaluator:391 - matching possibility: java.awt.Polygon@5577140b * java.awt.Polygon@e73f9ac = 0.790797683961999
2021-04-30 05:32:14.328 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@5577140b with MO: java.awt.Polygon@61064425
2021-04-30 05:32:14.328 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@5577140b with MO: java.awt.Polygon@7b1d7fff
2021-04-30 05:32:14.954 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@5577140b with MO: java.awt.Polygon@383534aa
2021-04-30 05:32:14.954 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@5577140b with MO: java.awt.Polygon@6bc168e5
2021-04-30 05:32:15.609 IDT [main]  TRACE LineSegmentationEvaluator:391 - matching possibility: java.awt.Polygon@5577140b * java.awt.Polygon@7b3300e5 = 0.034599821685755434
2021-04-30 05:32:15.610 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@5577140b with MO: java.awt.Polygon@2e5c649
2021-04-30 05:32:15.610 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@5577140b with MO: java.awt.Polygon@136432db
2021-04-30 05:32:15.610 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@5577140b with MO: java.awt.Polygon@7382f612
2021-04-30 05:32:15.611 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@5577140b with MO: java.awt.Polygon@1055e4af
2021-04-30 05:32:15.611 IDT [main]  TRACE LineSegmentationEvaluator:339 - matching possibility for GT: java.awt.Polygon@1c6b6478
2021-04-30 05:32:15.611 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@1c6b6478 with MO: java.awt.Polygon@ed17bee
2021-04-30 05:32:15.611 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@1c6b6478 with MO: java.awt.Polygon@2a33fae0
2021-04-30 05:32:15.612 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@1c6b6478 with MO: java.awt.Polygon@e6ea0c6
2021-04-30 05:32:15.612 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@1c6b6478 with MO: java.awt.Polygon@707f7052
2021-04-30 05:32:15.612 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@1c6b6478 with MO: java.awt.Polygon@11028347
2021-04-30 05:32:15.612 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@1c6b6478 with MO: java.awt.Polygon@14899482
2021-04-30 05:32:15.612 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@1c6b6478 with MO: java.awt.Polygon@21588809
2021-04-30 05:32:15.613 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@1c6b6478 with MO: java.awt.Polygon@2aae9190
2021-04-30 05:32:16.371 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@1c6b6478 with MO: java.awt.Polygon@77468bd9
2021-04-30 05:32:16.373 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@1c6b6478 with MO: java.awt.Polygon@12bb4df8
2021-04-30 05:32:16.373 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@1c6b6478 with MO: java.awt.Polygon@4cc77c2e
2021-04-30 05:32:16.373 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@1c6b6478 with MO: java.awt.Polygon@7a7b0070
2021-04-30 05:32:16.373 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@1c6b6478 with MO: java.awt.Polygon@39a054a5
2021-04-30 05:32:16.373 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@1c6b6478 with MO: java.awt.Polygon@71bc1ae4
2021-04-30 05:32:16.373 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@1c6b6478 with MO: java.awt.Polygon@1f89ab83
2021-04-30 05:32:17.049 IDT [main]  TRACE LineSegmentationEvaluator:391 - matching possibility: java.awt.Polygon@1c6b6478 * java.awt.Polygon@e73f9ac = 0.07312239458757602
2021-04-30 05:32:17.050 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@1c6b6478 with MO: java.awt.Polygon@61064425
2021-04-30 05:32:17.050 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@1c6b6478 with MO: java.awt.Polygon@7b1d7fff
2021-04-30 05:32:17.595 IDT [main]  TRACE LineSegmentationEvaluator:391 - matching possibility: java.awt.Polygon@1c6b6478 * java.awt.Polygon@299a06ac = 0.7480074870184761
2021-04-30 05:32:17.595 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@1c6b6478 with MO: java.awt.Polygon@383534aa
2021-04-30 05:32:17.596 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@1c6b6478 with MO: java.awt.Polygon@6bc168e5
2021-04-30 05:32:17.596 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@1c6b6478 with MO: java.awt.Polygon@7b3300e5
2021-04-30 05:32:17.596 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@1c6b6478 with MO: java.awt.Polygon@2e5c649
2021-04-30 05:32:17.596 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@1c6b6478 with MO: java.awt.Polygon@136432db
2021-04-30 05:32:17.596 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@1c6b6478 with MO: java.awt.Polygon@7382f612
2021-04-30 05:32:17.596 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@1c6b6478 with MO: java.awt.Polygon@1055e4af
2021-04-30 05:32:17.596 IDT [main]  TRACE LineSegmentationEvaluator:339 - matching possibility for GT: java.awt.Polygon@67f89fa3
2021-04-30 05:32:17.597 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@67f89fa3 with MO: java.awt.Polygon@ed17bee
2021-04-30 05:32:17.597 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@67f89fa3 with MO: java.awt.Polygon@2a33fae0
2021-04-30 05:32:17.597 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@67f89fa3 with MO: java.awt.Polygon@e6ea0c6
2021-04-30 05:32:17.597 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@67f89fa3 with MO: java.awt.Polygon@707f7052
2021-04-30 05:32:17.597 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@67f89fa3 with MO: java.awt.Polygon@11028347
2021-04-30 05:32:17.597 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@67f89fa3 with MO: java.awt.Polygon@14899482
2021-04-30 05:32:17.597 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@67f89fa3 with MO: java.awt.Polygon@21588809
2021-04-30 05:32:17.598 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@67f89fa3 with MO: java.awt.Polygon@2aae9190
2021-04-30 05:32:18.367 IDT [main]  TRACE LineSegmentationEvaluator:391 - matching possibility: java.awt.Polygon@67f89fa3 * java.awt.Polygon@2f333739 = 0.799029799029799
2021-04-30 05:32:18.367 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@67f89fa3 with MO: java.awt.Polygon@77468bd9
2021-04-30 05:32:18.991 IDT [main]  TRACE LineSegmentationEvaluator:391 - matching possibility: java.awt.Polygon@67f89fa3 * java.awt.Polygon@12bb4df8 = 0.002978041038060019
2021-04-30 05:32:18.991 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@67f89fa3 with MO: java.awt.Polygon@4cc77c2e
2021-04-30 05:32:18.991 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@67f89fa3 with MO: java.awt.Polygon@7a7b0070
2021-04-30 05:32:18.992 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@67f89fa3 with MO: java.awt.Polygon@39a054a5
2021-04-30 05:32:18.992 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@67f89fa3 with MO: java.awt.Polygon@71bc1ae4
2021-04-30 05:32:18.992 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@67f89fa3 with MO: java.awt.Polygon@1f89ab83
2021-04-30 05:32:18.992 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@67f89fa3 with MO: java.awt.Polygon@e73f9ac
2021-04-30 05:32:18.992 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@67f89fa3 with MO: java.awt.Polygon@61064425
